Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
blm-1-single-c5-w39-3d6_S139_	p	301215	264024	14.70%	0.50%	7.80%	33	17.50%	50.00%	147	>=2	0.00%	0.80%	0
blm-1-single-c5-w40-3d6_S140_	p	327725	286672	16.90%	0.60%	17.20%	32	28.20%	51.00%	147	>=2	0.00%	0.60%	0
blm-1-single-c5-w41-3d6_S141_	g	162379	142448	12.10%	0.30%	2.50%	18	6.90%	50.00%	147	NA	0.00%	0.30%	0
blm-1-single-c5-w42-3d6_S142_	g	533107	472244	15.30%	1.00%	1.60%	62	19.60%	50.00%	147	NA	0.00%	0.80%	0.278359
blm-1-single-c5-w43-3d6_S143_	g	381743	342436	14.00%	0.70%	2.70%	44	12.80%	50.00%	146	NA	0.00%	0.80%	0
blm-1-single-c5-w4-3d6_S104_	p	236672	205838	14.10%	0.40%	6.00%	25	15.80%	50.00%	147	>=2	0.00%	0.60%	0
blm-1-single-c5-w44-3d6_S144_	p	311777	275466	16.00%	0.60%	0.00%	35	100.00%	49.00%	149	>=2	0.00%	0.50%	0
blm-1-single-c5-w45-3d6_S145_	g	428550	382926	13.50%	0.80%	2.20%	51	13.90%	49.00%	148	>=2	0.00%	1.00%	0
blm-1-single-c5-w47-3d6_S147_	g	170020	146862	13.20%	0.30%	3.30%	19	20.00%	50.00%	147	NA	0.00%	0.30%	0
blm-1-single-c5-w5-3d6_S105_	g	253458	218570	15.60%	0.40%	2.20%	28	8.80%	51.00%	147	NA	0.00%	0.20%	0
blm-1-single-c5-w6-3d6_S106_	g	287646	248500	17.10%	0.50%	3.10%	31	3.00%	50.00%	147	NA	0.00%	0.60%	0
blm-1-single-c5-w7-3d6_S107_	g	1088295	970442	18.50%	1.90%	1.40%	128	20.40%	48.00%	147	0.34	0.00%	2.00%	0
blm-1-single-c5-w9-3d6_S109_	p	241403	210176	16.20%	0.40%	4.30%	27	5.40%	51.00%	147	>=2	0.00%	0.50%	0
blm-1-single-c9-w14-3d6_S310_	p	374738	328764	20.50%	0.60%	11.60%	37	19.60%	49.00%	148	>=2	0.00%	0.70%	0
blm-1-single-c9-w16-3d6_S312_	p	602916	543622	19.10%	1.10%	9.20%	58	41.70%	50.00%	147	NA	0.00%	1.80%	0
blm-1-single-c9-w18-3d6_S314_	p	557151	500592	23.60%	0.90%	17.70%	56	62.00%	50.00%	147	>=2	0.00%	1.10%	0
blm-1-single-c9-w19-3d6_S315_	g	306985	272304	20.70%	0.50%	2.30%	32	12.80%	50.00%	147	NA	0.00%	0.60%	0.483054
blm-1-single-c9-w21-3d6_S317_	p	172966	152418	16.00%	0.30%	3.10%	19	9.40%	51.00%	148	NA	0.00%	0.30%	0
blm-1-single-c9-w24-3d6_S320_	g	271476	240102	17.70%	0.50%	2.10%	30	6.90%	50.00%	147	>=2	0.00%	0.50%	0
blm-1-single-c9-w29-3d6_S325_	p	182260	161310	12.10%	0.30%	8.10%	20	22.20%	50.00%	148	NA	0.00%	0.50%	0
blm-1-single-c9-w30-3d6_S326_	d	98095	87800	11.70%	0.20%	2.90%	12	10.30%	50.00%	147	>=2	0.00%	0.20%	0
blm-1-single-c9-w32-3d6_S328_	p	161082	144490	13.20%	0.30%	26.10%	17	24.30%	50.00%	147	>=2	0.00%	0.40%	0
blm-1-single-c9-w35-3d6_S331_	g	246158	217828	17.50%	0.40%	3.20%	26	5.90%	51.00%	147	>=2	0.00%	0.30%	0
blm-1-single-c9-w36-3d6_S332_	p	1011025	909696	21.30%	1.70%	0.00%	93	95.80%	50.00%	147	NA	0.00%	1.80%	0
blm-1-single-c9-w43-3d6_S339_	g	191994	169508	10.60%	0.40%	4.20%	24	8.60%	49.00%	147	>=2	0.00%	0.30%	0
blm-1-single-c9-w46-3d6_S342_	g	196268	174866	12.40%	0.40%	2.90%	23	4.90%	51.00%	147	>=2	0.00%	0.70%	0
blm-1-single-c9-w6-3d6_S302_	g	258812	231016	17.80%	0.50%	1.80%	29	6.30%	50.00%	148	>=2	0.00%	0.50%	0.284694
blm-recq5-1-negctrl-c7-w25-3d6_S223_	p	NA	NA	NA	NA	NA	NA	NA	NA	NA	>=2	NA	NA	NA
blm-recq5-1-single-c11-w10-3d6_S404_	d	28274	25418	13.10%	0.10%	6.20%	3	19.20%	48.00%	163	>=2	0.00%	0.10%	0
blm-recq5-1-single-c11-w11-3d6_S405_	g	533009	484792	14.20%	1.00%	1.00%	67	11.10%	45.00%	149	0.38	0.00%	0.60%	0
blm-recq5-1-single-c11-w1-3d6_S395_	g	111733	100588	11.20%	0.20%	1.50%	14	8.60%	46.00%	151	>=2	0.00%	0.20%	0
blm-recq5-1-single-c11-w18-3d6_S412_	g	570350	514666	16.20%	1.00%	1.00%	71	18.80%	46.00%	152	0.42	0.00%	1.50%	0
blm-recq5-1-single-c11-w22-3d6_S416_	g	116027	104202	14.50%	0.20%	1.30%	14	8.60%	49.00%	150	>=2	0.00%	0.20%	0
blm-recq5-1-single-c11-w28-3d6_S422_	p	91791	82156	13.30%	0.20%	1.60%	11	3.30%	48.00%	154	>=2	0.00%	0.40%	0
blm-recq5-1-single-c11-w33-3d6_S427_	g	160137	143980	16.40%	0.30%	1.40%	19	12.80%	48.00%	161	>=2	0.00%	0.20%	0
blm-recq5-1-single-c11-w34-3d6_S428_	d	177151	157318	16.80%	0.30%	1.40%	20	9.40%	49.00%	151	>=2	0.00%	0.50%	0
